customer_id,date,category,amount
1,2026-08-01,Food,900
1,2026-08-03,Travel,600
1,2026-08-05,Shopping,1200
1,2026-08-09,Food,750
1,2026-08-13,Entertainment,500
1,2026-08-17,Travel,400
1,2026-08-21,Food,850
1,2026-08-25,Shopping,900
1,2026-09-01,Food,800
1,2026-09-04,Travel,500
1,2026-09-07,Shopping,700
1,2026-09-10,Food,650
2,2026-08-01,Rent,18000
2,2026-08-03,Food,4500
2,2026-08-06,Travel,2200
2,2026-08-10,Shopping,5000
2,2026-08-15,Bills,3200
2,2026-08-20,Entertainment,1800
2,2026-08-25,Food,3500
2,2026-09-02,Rent,18000
2,2026-09-05,Food,4200
2,2026-09-08,Shopping,3000
3,2026-08-02,Rent,12000
3,2026-08-05,Food,3500
3,2026-08-11,Bills,2600
3,2026-08-16,Travel,1800
3,2026-08-22,Shopping,2800
3,2026-09-02,Rent,12000
3,2026-09-06,Food,3200
4,2026-08-01,Rent,22000
4,2026-08-04,Food,6500
4,2026-08-08,Travel,5000
4,2026-08-14,Shopping,8500
4,2026-08-20,Bills,6000
4,2026-08-27,Entertainment,3500
4,2026-09-03,Rent,22000
4,2026-09-07,Food,6000
5,2026-08-01,Rent,14000
5,2026-08-03,Food,3200
5,2026-08-07,Travel,1800
5,2026-08-12,Shopping,3500
5,2026-08-18,Bills,2400
5,2026-08-24,Entertainment,1200
5,2026-09-01,Rent,14000
5,2026-09-05,Food,3000
5,2026-09-09,Shopping,2500
6,2026-08-01,Rent,25000
6,2026-08-04,Food,7000
6,2026-08-08,Travel,4500
6,2026-08-13,Shopping,9000
6,2026-08-18,Bills,6500
6,2026-08-23,Healthcare,2500
6,2026-09-02,Rent,25000
6,2026-09-06,Food,6800
7,2026-08-02,Rent,15000
7,2026-08-05,Food,3800
7,2026-08-09,Shopping,4200
7,2026-08-14,Travel,2100
7,2026-08-21,Bills,2800
7,2026-09-03,Rent,15000
7,2026-09-07,Food,3500
8,2026-08-01,Rent,10000
8,2026-08-04,Food,2800
8,2026-08-08,Travel,1600
8,2026-08-15,Shopping,2500
8,2026-08-22,Bills,1800
8,2026-09-02,Rent,10000
8,2026-09-06,Food,2600
